N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1285,KTOP 코스피50,"17,945",65,-0.36%,0,92,510,0.00,92,N/A,N/A,https://finance.naver.com/item/main.nhn?code=168300,168300
1286,KODEX 미국러셀2000(H),"8,255",115,+1.41%,0,91,"1,100",0.00,"13,705",N/A,N/A,https://finance.naver.com/item/main.nhn?code=280930,280930
1287,대신 인버스 철광석 선물 ETN(H),"4,530",30,+0.67%,0,91,"2,000",0.00,"3,591",N/A,N/A,https://finance.naver.com/item/main.nhn?code=510009,510009
1288,신한 인버스 달러인덱스 선물 ETN(H),"9,055",0,0.00%,0,91,"1,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=500012,500012
1289,KOSEF 200선물인버스2X,"6,730",5,-0.07%,0,90,"1,340",0.00,"65,430",N/A,N/A,https://finance.naver.com/item/main.nhn?code=253230,253230
1290,TRUE 인버스 엔선물 ETN B,"9,005",0,0.00%,0,90,"1,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=570036,570036
1291,TIGER 일본엔선물,"11,250",90,-0.79%,0,90,800,0.00,792,N/A,N/A,https://finance.naver.com/item/main.nhn?code=292560,292560
1292,KODEX KRX300레버리지,"8,080",40,-0.49%,0,89,"1,100",0.00,"15,493",N/A,N/A,https://finance.naver.com/item/main.nhn?code=306950,306950
1293,유유제약1우,"7,820",10,+0.13%,"1,000",89,"1,133",6.61,"3,551",12.69,N/A,https://finance.naver.com/item/main.nhn?code=000225,000225
1294,QV 인버스 MSCI 선진국 ETN,"12,660",0,0.00%,0,89,700,0.00,100,N/A,N/A,https://finance.naver.com/item/main.nhn?code=550053,550053
1295,KODEX 미국채10년선물,"12,650",40,-0.32%,0,89,700,0.00,"7,166",N/A,N/A,https://finance.naver.com/item/main.nhn?code=308620,308620
1296,TRUE 인버스 2X HSCEI ETN(H),"8,835",75,-0.84%,0,88,"1,000",0.00,"10,420",N/A,N/A,https://finance.naver.com/item/main.nhn?code=570032,570032
1297,KINDEX 스마트로우볼,"11,040",60,+0.55%,0,88,800,0.00,10,N/A,N/A,https://finance.naver.com/item/main.nhn?code=322130,322130
1298,KBSTAR 차이나HSCEI(H),"11,025",30,+0.27%,0,88,800,0.00,54,N/A,N/A,https://finance.naver.com/item/main.nhn?code=250730,250730
1299,TIGER 미국달러선물레버리지,"11,015",0,0.00%,0,88,800,0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=261110,261110
1300,TRUE 레버리지 HSCEI ETN(H),"8,770",20,+0.23%,0,88,"1,000",0.00,22,N/A,N/A,https://finance.naver.com/item/main.nhn?code=570031,570031
1301,코리아써우,"2,950",35,-1.17%,500,87,"2,965",4.85,"1,116",118.00,N/A,https://finance.naver.com/item/main.nhn?code=007815,007815
1302,SK네트웍스우,"76,500",0,0.00%,"2,500",87,114,0.28,483,-144.34,N/A,https://finance.naver.com/item/main.nhn?code=001745,001745
1303,KODEX 미국S&P에너지(합성),"5,120",30,-0.58%,0,87,"1,694",0.00,"40,025",N/A,N/A,https://finance.naver.com/item/main.nhn?code=218420,218420
1304,KBSTAR 헬스케어채권혼합,"10,800",50,-0.46%,0,86,800,0.00,"1,807",N/A,N/A,https://finance.naver.com/item/main.nhn?code=253290,253290
1305,금호산업우,"29,550",350,+1.20%,"5,000",86,292,0.00,731,91.49,N/A,https://finance.naver.com/item/main.nhn?code=002995,002995
1306,TRUE 코스피 커버드콜 ETN B,"8,600",20,-0.23%,0,86,"1,000",0.00,59,N/A,N/A,https://finance.naver.com/item/main.nhn?code=570020,570020
1307,KBSTAR IT플러스,"11,915",5,-0.04%,0,86,720,0.00,"1,196",N/A,N/A,https://finance.naver.com/item/main.nhn?code=326240,326240
1308,KODEX MSCI밸류,"7,790",5,-0.06%,0,86,"1,100",0.00,"16,544",N/A,N/A,https://finance.naver.com/item/main.nhn?code=275290,275290
1309,KBSTAR 미국장기국채선물레버리지(합성 H),"15,500",140,-0.90%,0,85,550,0.00,589,N/A,N/A,https://finance.naver.com/item/main.nhn?code=267490,267490
1310,KBSTAR 5대그룹주,"4,735",20,+0.42%,0,85,"1,800",0.00,137,N/A,N/A,https://finance.naver.com/item/main.nhn?code=105780,105780
1311,KOSEF 고배당,"6,085",15,+0.25%,0,85,"1,400",0.00,325,N/A,N/A,https://finance.naver.com/item/main.nhn?code=104530,104530
1312,TRUE 인버스 나스닥 100 ETN,"8,515",75,+0.89%,0,85,"1,000",0.00,"4,932",N/A,N/A,https://finance.naver.com/item/main.nhn?code=570042,570042
1313,HANARO KAP초장기국고채,"49,965",60,-0.12%,0,85,170,0.00,59,N/A,N/A,https://finance.naver.com/item/main.nhn?code=346000,346000
1314,KODEX 턴어라운드투자,"8,475",35,-0.41%,0,85,"1,000",0.00,59,N/A,N/A,https://finance.naver.com/item/main.nhn?code=247800,247800
1315,TIGER 일본엔선물레버리지,"12,070",70,-0.58%,0,84,700,0.00,339,N/A,N/A,https://finance.naver.com/item/main.nhn?code=292570,292570
1316,일양약품우,"18,950",200,-1.04%,"2,500",84,445,0.08,"3,522",37.08,N/A,https://finance.naver.com/item/main.nhn?code=007575,007575
1317,KODEX 게임산업,"9,335",30,+0.32%,0,84,900,0.00,633,N/A,N/A,https://finance.naver.com/item/main.nhn?code=300950,300950
1318,KOSEF 미국달러선물인버스,"9,880",15,+0.15%,0,84,850,0.00,142,N/A,N/A,https://finance.naver.com/item/main.nhn?code=139660,139660
1319,ARIRANG 중형주저변동50,"7,565",30,+0.40%,0,83,"1,100",0.00,25,N/A,N/A,https://finance.naver.com/item/main.nhn?code=266550,266550
1320,KODEX MSCI퀄리티,"9,225",65,-0.70%,0,83,900,0.00,225,N/A,N/A,https://finance.naver.com/item/main.nhn?code=275300,275300
1321,KODEX 미국달러선물인버스,"9,440",10,-0.11%,0,82,870,0.00,"3,005",N/A,N/A,https://finance.naver.com/item/main.nhn?code=261270,261270
1322,삼성 모멘텀 탑픽 ETN,"4,100",0,0.00%,0,82,"2,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=530003,530003
1323,TIGER 유로스탁스레버리지(합성 H),"5,120",10,+0.20%,0,82,"1,600",0.00,"30,568",N/A,N/A,https://finance.naver.com/item/main.nhn?code=225050,225050
1324,ARIRANG 200선물레버리지,"18,150",50,-0.27%,0,82,450,0.00,"11,065",N/A,N/A,https://finance.naver.com/item/main.nhn?code=253150,253150
1325,대신 니켈선물 ETN(H),"11,620",245,-2.06%,0,81,700,0.00,348,N/A,N/A,https://finance.naver.com/item/main.nhn?code=510003,510003
1326,TIGER KTOP30,"6,450",10,-0.15%,0,81,"1,250",0.00,504,N/A,N/A,https://finance.naver.com/item/main.nhn?code=228820,228820
1327,동북아13호,"5,030",0,0.00%,"5,000",80,"1,586",0.00,0,16.77,6.00,https://finance.naver.com/item/main.nhn?code=083380,083380
