N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
321,LG헬로비전,"4,460",70,+1.59%,"2,500","3,454","77,447",10.48,"231,130",-3.66,-9.40,https://finance.naver.com/item/main.nhn?code=037560,037560
322,삼진제약,"24,800",850,-3.31%,"1,000","3,447","13,900",16.70,"135,106",30.54,5.69,https://finance.naver.com/item/main.nhn?code=005500,005500
323,HANARO 단기통안채,"102,495",0,0.00%,0,"3,409","3,326",17.74,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=306540,306540
324,한화투자증권,"1,585",5,-0.31%,"5,000","3,401","214,548",6.45,"581,181",3.14,9.36,https://finance.naver.com/item/main.nhn?code=003530,003530
325,삼호,"22,400","1,850",+9.00%,"5,000","3,400","15,180",3.46,"93,009",3.58,23.04,https://finance.naver.com/item/main.nhn?code=001880,001880
326,AK홀딩스,"25,400","1,100",+4.53%,"5,000","3,365","13,248",12.29,"58,304",11.90,3.38,https://finance.naver.com/item/main.nhn?code=006840,006840
327,한국쉘석유,"258,500","1,500",-0.58%,"5,000","3,360","1,300",63.83,"1,052",15.98,21.30,https://finance.naver.com/item/main.nhn?code=002960,002960
328,효성첨단소재,"74,900",300,-0.40%,"5,000","3,355","4,480",7.78,"11,700",-4.79,-19.74,https://finance.naver.com/item/main.nhn?code=298050,298050
329,TIGER 코스닥150,"10,015",85,-0.84%,0,"3,339","33,340",2.09,"716,285",N/A,N/A,https://finance.naver.com/item/main.nhn?code=232080,232080
330,SBS,"18,250",50,-0.27%,"5,000","3,331","18,253",0.00,"46,890",16.91,3.46,https://finance.naver.com/item/main.nhn?code=034120,034120
331,이리츠코크렙,"5,250",10,+0.19%,500,"3,325","63,342",0.40,"47,133",25.36,2.48,https://finance.naver.com/item/main.nhn?code=088260,088260
332,일진다이아,"23,400",450,-1.89%,"1,000","3,323","14,203",2.26,"147,814",26.12,8.06,https://finance.naver.com/item/main.nhn?code=081000,081000
333,동화약품,"11,850","1,400",+13.40%,"1,000","3,310","27,931",4.91,"1,145,774",35.16,3.15,https://finance.naver.com/item/main.nhn?code=000020,000020
334,한솔제지,"13,900",450,+3.35%,"5,000","3,308","23,801",15.51,"164,207",8.27,6.92,https://finance.naver.com/item/main.nhn?code=213500,213500
335,JW홀딩스,"4,965",25,-0.50%,500,"3,299","66,452",5.28,"82,398",-9.87,-20.18,https://finance.naver.com/item/main.nhn?code=096760,096760
336,잇츠한불,"14,900",300,+2.05%,500,"3,267","21,929",3.52,"37,624",-69.30,-1.11,https://finance.naver.com/item/main.nhn?code=226320,226320
337,퍼시스,"28,050",200,-0.71%,"1,000","3,226","11,500",21.99,"2,012",9.50,7.86,https://finance.naver.com/item/main.nhn?code=016800,016800
338,TIGER 200 IT,"20,805",40,+0.19%,0,"3,212","15,440",0.05,"22,101",N/A,N/A,https://finance.naver.com/item/main.nhn?code=139260,139260
339,신영증권우,"45,350",50,+0.11%,"5,000","3,199","7,054",7.92,"1,524",8.51,N/A,https://finance.naver.com/item/main.nhn?code=001725,001725
340,진에어,"10,650",200,+1.91%,"1,000","3,195","30,000",1.27,"255,684",-5.64,-24.74,https://finance.naver.com/item/main.nhn?code=272450,272450
341,진흥기업,"2,195",115,+5.53%,500,"3,193","145,472",0.16,"639,276",15.79,23.08,https://finance.naver.com/item/main.nhn?code=002780,002780
342,세아베스틸,"8,900",80,-0.89%,"5,000","3,192","35,862",8.66,"43,037",18.54,0.93,https://finance.naver.com/item/main.nhn?code=001430,001430
343,광동제약,"6,070",50,-0.82%,"1,000","3,182","52,421",23.17,"119,859",13.80,5.57,https://finance.naver.com/item/main.nhn?code=009290,009290
344,한독,"22,900",300,-1.29%,500,"3,152","13,764",4.22,"116,924",9.02,10.78,https://finance.naver.com/item/main.nhn?code=002390,002390
345,하이트진로홀딩스,"13,400",600,+4.69%,"5,000","3,110","23,207",5.41,"37,621",-14.84,-4.65,https://finance.naver.com/item/main.nhn?code=000140,000140
346,일동제약,"12,950",100,-0.77%,"1,000","3,083","23,803",7.87,"62,154",-22.92,-5.08,https://finance.naver.com/item/main.nhn?code=249420,249420
347,미원상사,"61,500",0,0.00%,500,"3,075","5,000",4.64,"1,880",9.98,14.74,https://finance.naver.com/item/main.nhn?code=002840,002840
348,SK렌터카,"8,580",110,+1.30%,500,"3,069","35,765",0.94,"62,752",N/A,5.51,https://finance.naver.com/item/main.nhn?code=068400,068400
349,도화엔지니어링,"9,000",100,-1.10%,500,"3,035","33,720",1.33,"251,164",17.44,6.94,https://finance.naver.com/item/main.nhn?code=002150,002150
350,신한알파리츠,"6,350",0,0.00%,"1,000","3,025","47,630",2.67,"69,822",28.60,1.07,https://finance.naver.com/item/main.nhn?code=293940,293940
351,TIGER 원유선물Enhanced(H),"1,360",25,-1.81%,0,"3,001","220,650",0.00,"17,010,458",N/A,N/A,https://finance.naver.com/item/main.nhn?code=130680,130680
352,한라홀딩스,"28,650",250,+0.88%,"5,000","3,000","10,472",10.68,"18,086",7.31,4.69,https://finance.naver.com/item/main.nhn?code=060980,060980
